SKU,Nome,Breve descrizione,Lingua,Gruppo di traduzione,Meta: misure_prodotto,Meta: _misure_prodotto,Meta: misure_modello,Meta: _misure_modello,Meta: featured_product,Meta: _featured_product,Meta: costum_shop_image,Meta: _costum_shop_image,Meta: composizione,Meta: _composizione,Meta: _max_variation_sale_price,Meta: _min_variation_sale_price,Meta: _max_variation_regular_price,Meta: _min_variation_regular_price,Meta: _max_variation_price,Meta: _min_variation_price,Meta: _yoast_wpseo_primary_product_cat,Meta: _yoast_wpseo_estimated-reading-time-minutes,Meta: _yoast_wpseo_wordproof_timestamp,Meta: _ebay_watch_count,Meta: _ebay_title,Meta: _ebay_subtitle,Meta: _ebay_ebayplus_enabled,Meta: _ebay_payment_instructions,Meta: _ebay_condition_id,Meta: _ebay_condition_description,Meta: _ebay_professional_grader,Meta: _ebay_grade,Meta: _ebay_certification_number,Meta: _ebay_listing_duration,Meta: _ebay_auction_type,Meta: _ebay_start_price,Meta: _ebay_reserve_price,Meta: _ebay_buynow_price,Meta: _ebay_upc,Meta: _ebay_ean,Meta: _ebay_isbn,Meta: _ebay_mpn,Meta: _ebay_brand,Meta: _ebay_epid,Meta: _ebay_hide_from_unlisted,Meta: _ebay_category_1_id,Meta: _ebay_category_2_id,Meta: _ebay_store_category_1_id,Meta: _ebay_store_category_2_id,Meta: _ebay_gallery_image_url,Meta: _ebay_seller_payment_profile_id,Meta: _ebay_seller_return_profile_id,Meta: _ebay_bestoffer_enabled,Meta: _ebay_bo_autoaccept_price,Meta: _ebay_bo_minimum_price,Meta: _ebay_autopay,Meta: _wc_facebook_sync_enabled,Meta: fb_visibility,Meta: fb_product_description,Meta: _wc_facebook_product_image_source,Meta: _wc_facebook_commerce_enabled,Meta: _yoast_wpseo_primary_fb_product_set,Meta: _wp_old_date,Meta: _yoast_wpseo_meta-robots-noindex,Meta: _yoast_wpseo_meta-robots-nofollow,Meta: _ebay_gpsr_enabled,Meta: _ebay_gpsr_repair_score,Meta: _ebay_gpsr_energy_efficiency_image,Meta: _ebay_gpsr_energy_efficiency_image_eps,Meta: _ebay_gpsr_energy_efficiency_label_description,Meta: _ebay_gpsr_energy_efficiency_sheet_image,Meta: _ebay_gpsr_energy_efficiency_sheet_image_eps,Meta: _ebay_gpsr_hazmat_component,Meta: _ebay_gpsr_manufacturer,Meta: _ebay_gpsr_product_safety_component,Meta: _ebay_gpsr_manufacturer_street1,Meta: _ebay_gpsr_manufacturer_street2,Meta: _ebay_gpsr_manufacturer_city,Meta: _ebay_gpsr_manufacturer_state,Meta: _ebay_gpsr_manufacturer_postcode,Meta: _ebay_gpsr_manufacturer_country,Meta: _ebay_gpsr_manufacturer_company,Meta: _ebay_gpsr_manufacturer_phone,Meta: fb_product_image,Meta: fb_product_price,Meta: _ebay_is_disabled
2305,"Riffblast Quadro ""Alice Across The Sea""","Opera by Riffblast belonging to the series ""Alice In Wonderworlds"". Alice has been made in forex with a thickness of 8mm and hand-painted. Frame with basic white frame included.",it,,48x30x4 cm,field_65778f7066bd9,,,,,,,Wood and Forex,field_664b3a442440b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2306,"Riffblast Quadro ""Alice In Venice""","Opera by Riffblast belonging to the series ""Alice In Wonderworlds"". Alice has been made in forex with a thickness of 8mm and hand-painted. Frame with basic white frame included.",it,,44x43x4 cm,field_65778f7066bd9,,,,,,,Wood and Forex,field_664b3a442440b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2307,"Riffblast Quadro ""Alice In Beautiful Capri Island""","Opera by Riffblast belonging to the series ""Alice In Wonderworlds"". Alice has been made in forex with a thickness of 8mm and hand-painted. Frame with basic white frame included.",it,,48x30x4 cm,field_65778f7066bd9,,,,,,,Wood and Forex,field_664b3a442440b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2308,Riffblast Gucci Italian Scugnizzo,"A Gucci bag becomes a work of art created by Riffblast. Unique piece. Hand-carved and hand-painted wood in the shape of ""Paperino.""",it,,34x26 cm,field_65778f7066bd9,,,,,,,Paper and Wood,field_664b3a442440b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2309,Riffblast Better Louis Than Badly Accompanied,"A Louis Vuitton bag becomes a work of art created by Riffblast. Unique piece. Hand-carved and hand-painted wood themed around ""Cinderella.""",it,,42x25 cm,field_65778f7066bd9,,,,,,,Paper and Wood,field_664b3a442440b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2310,Riffblast Quadro Lisa Simpson,Artwork created by Riffblast. The starting point is a vintage painting with religious subjects reinterpreted in a pop style with the addition of Maggie Simpson in carved and hand-painted wood.,it,,73x40 cm,field_65778f7066bd9,,,,,,,Wood and Canvas,field_664b3a442440b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2311,Riffblast Quadro Lake It Easy,Artwork created by Riffblast. The starting point is a vintage landscape painting that has been reinterpreted in a pop style with the addition of Richie Rich hand-painted with acrylics.,it,,61x82 cm,field_65778f7066bd9,,,,,,,Wood and Canvas,field_664b3a442440b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2312,Sin City Original Cinema Poster,Original movie poster of the film Sin City.,it,,58.5x39 cm,field_65778f7066bd9,,,,,,,Letter,field_664b3a442440b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2313,Billy Elliot Original Cinema Poster,Original movie poster for the film Billy Elliot.,it,,64x44 cm,field_65778f7066bd9,,,,,,,Letter,field_664b3a442440b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2314,Snow White and the Seven Dwarfs Original Poster,"Original cinema poster of ""Baincaneve e i sette nani.""",it,,63x45 cm,field_65778f7066bd9,,,,,,,Letter,field_664b3a442440b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
